Worker,Continuity
261341,0
434897,0
751052,0
901484,10
961790,0
743666,8
868580,0
984665,2
1008023,25
986849,0
643814,0
1001864,1
538634,0
969284,0
1026944,0
1082867,0
853094,15
684380,0
1018088,0
984656,0
169208,0
882860,45
984890,7
678908,0
54497,13
1012997,0
979067,3
786188,0
984407,0
341795,0
159440,0
100796,0
475178,22
992027,5
1029188,0
846335,0
755885,0
989099,0
924158,10
968171,14
924155,0
319883,0
947255,8
969026,0
1113437,12
1008038,0
825824,0
995120,10
938543,0
996695,0
1002929,43
729326,0
614219,0
984467,0
987977,0
340448,0
826985,1
1113020,16
1010795,0
903233,19
790457,11
214166,0
605738,0
813677,0
640361,2
411986,0
815855,0
926114,0
378413,2
1005182,0
628481,0
987725,0
984458,0
947270,0
664787,0
1006277,0
995540,10
680816,0
846521,0
294005,0
285539,0
890201,0
716036,0
1008245,0
822365,0
977900,0
330614,0
748079,0
889241,0
387392,2
685496,0
986864,0
987710,10
464258,0
679808,5
1010786,0
126734,0
716021,0
976820,0
997982,0
941780,0
629915,1
544229,0
239495,0
814559,0
976646,0
1115249,0
525944,11
1002329,0
1081709,0
986207,0
786563,0
205241,12
977501,12
497387,0
1120604,1
756338,0
710597,8
997358,20
998204,2
456611,0
591209,0
779213,0
484067,0
930878,20
676916,19
785003,0
976400,0
799634,24
976643,51
326102,0
999302,0
861542,0
754388,0
977717,7
242882,0
726713,0
892271,0
744587,24
996281,0
1012115,0
273389,0
976874,0
959054,0
265511,0
976859,0
1002332,0
1004753,0
243740,0
841967,0
927026,4
985334,0
895307,13
206369,0
443783,0
984479,0
847277,0
853946,4
921713,0
975530,0
253307,0
1003613,0
406148,0
1026977,0
798104,10
895511,0
1026737,1
640508,0
503963,0
1008068,5
318917,0
438380,1
478829,0
603179,0
999971,0
733679,12
976679,0
268841,0
1026986,0
989996,0
985397,0
287309,0
788306,0
929465,0
1035680,27
839642,15
230225,0
1014767,27
734531,0
995384,5
824393,11
803474,0
999503,0
976442,14
980939,15
244625,0
87371,0
859685,0
893555,0
994091,22
314300,0
1005815,0
741278,0
114371,1
743213,11
116552,0
628892,1
847460,0
278876,0
1001690,0
977765,0
977525,0
923924,0
288650,0
860663,0
407687,0
246815,5
779633,0
754598,0
594932,22
200615,0
1048736,0
107840,0
988400,0
223952,0
890057,0
929246,3
984287,0
488603,0
486425,0
830801,0
168179,0
1016921,0
931310,0
745637,0
746969,0
806723,0
998672,0
734993,0
754106,0
943529,0
479900,0
1027466,2
980504,2
530582,0
703895,0
898307,0
311369,0
223991,0
998285,0
1016336,0
997199,0
1002398,3
217073,0
465725,0
374816,1
784667,0
839324,0
452627,0
993803,18
304850,0
979757,0
807995,19
453953,0
750641,2
600638,0
1004366,0
967997,0
1015463,0
449012,2
485789,0
746369,0
986039,0
934874,0
910424,0
50450,36
979502,1
783593,0
473315,0
979985,8
982907,1
953594,0
760658,0
372896,0
942002,29
943577,0
264269,0
1014383,0
761984,31
670997,0
988688,0
911765,0
679571,2
711293,0
1018745,5
1122773,0
875681,0
872174,0
288227,0
777086,0
872363,5
281669,30
1012178,0
1014596,0
659777,0
450659,4
1003451,0
993614,0
508694,1
174560,30
1002116,3
1003448,22
998009,3
695852,0
1002359,0
1026344,0
1003445,21
1002356,0
1003685,0
875618,0
279584,0
792095,0
1119119,14
374615,0
482489,6
873443,0
660986,0
1015454,0
994937,0
1019810,5
999344,0
859391,0
470276,0
978224,0
798881,20
449693,0
787505,0
978692,0
381173,0
852767,6
151469,3
1017842,0
1069925,3
999113,17
713201,0
9455,6
566765,0
861494,0
749843,0
352622,19
997181,0
1012166,0
212432,0
609404,0
999368,0
475700,3
920288,3
155453,8
994991,0
1015082,0
966284,0
340091,1
514259,0
97910,0
845858,0
384470,2
1017266,0
967376,29
984944,0
1005035,0
1011965,0
874181,27
891767,0
295646,0
966293,0
662054,8
62822,0
1017275,8
891524,0
966299,0
200483,0
3929,20
1018127,0
898160,0
182849,10
643787,0
215963,2
1113605,4
601568,0
748382,0
922001,0
590825,0
856772,10
483764,0
451727,0
1754,0
796811,0
1009412,0
186182,0
752879,0
772004,0
794639,0
1011707,0
855692,0
812921,0
417824,0
1019435,0
1018346,22
664496,0
741998,14
800933,0
1018583,3
1017251,5
976064,0
118001,0
1009886,0
978248,16
738599,0
927959,1
966083,0
1054643,0
981482,0
982574,0
509705,0
334850,3
1008983,39
911132,0
345731,0
947312,7
926879,16
849191,0
1097525,32
226889,0
979397,0
960542,12
1049285,3
891932,0
968243,20
132551,25
992591,2
758387,5
258476,0
1008767,0
850196,20
877433,19
257141,0
637913,0
855884,0
124964,0
1007432,2
143687,0
915995,0
1003076,0
808211,1
280391,0
459869,0
974912,0
1029437,1
763964,0
1019633,2
1014188,0
968018,0
332630,29
758150,0
726587,22
284501,0
309884,0
269363,2
1027010,0
811568,1
1024874,2
859988,0
916865,0
1048607,0
151808,12
512591,0
1000667,3
1003934,0
1001759,21
333830,0
1007054,0
995453,16
997634,0
1024886,0
1025732,0
504959,0
592253,0
689951,0
895604,2
981266,0
984776,12
981026,0
902471,26
979196,24
941801,0
159773,1
995465,0
734813,0
113513,0
998978,0
1025948,2
535691,22
76169,20
995471,22
1082303,0
3539,0
481733,0
997418,0
286556,0
813977,0
1026809,0
981011,22
683147,0
978089,0
801512,0
686414,8
995480,0
995240,0
869564,12
807056,0
706325,0
1018151,0
93752,31
934091,0
729440,28
429149,22
1011764,3
745928,27
641312,0
938453,0
975884,0
1102016,0
936035,0
993053,0
1007249,0
888491,0
487499,0
987854,0
983012,1
272390,0
294110,0
832298,0
467666,0
1084970,3
882707,1
629450,1
690734,10
902033,58
937112,0
320960,2
218636,24
811100,46
1000643,0
995429,0
941885,0
1022876,5
928661,0
388370,0
790355,0
801785,0
230531,1
327584,0
975863,0
843143,0
1006184,0
731513,40
948269,22
240791,0
1020221,0
951413,0
981293,0
1023734,0
1023977,2
683192,21
501029,43
1019474,1
506957,0
685373,0
320708,0
504545,2
984557,22
983468,4
867581,1
996770,0
775787,0
455870,0
714827,0
1025567,0
986573,1
964781,0
927590,0
1015766,10
988505,11
975680,0
930533,0
711323,0
996386,0
493901,0
141605,0
975683,0
901757,63
160118,0
1005701,0
381749,0
919985,0
1003763,0
611939,0
876905,0
215171,4
871217,0
837302,25
1014449,16
151898,0
3368,0
826418,0
1035128,0
937151,0
106847,0
901505,8
198500,0
405353,0
365051,0
756203,0
953627,0
733328,0
840509,0
797351,0
428036,0
986549,0
989813,6
1114013,0
853814,0
232991,0
151421,0
509366,0
160139,2
798452,21
453461,1
960170,0
1004633,0
163889,2
1162367,0
896999,0
169196,0
164972,0
1005728,0
988958,0
1010066,0
485264,0
541295,0
591776,2
985286,0
787325,23
115118,0
723986,0
766235,26
722648,3
990626,0
798218,0
418415,6
980822,0
860528,24
92813,0
735974,0
996107,0
987692,0
753164,0
576392,0
930317,0
929345,12
744449,0
1011371,10
897830,30
115355,0
1036415,1
881453,6
694250,0
977894,11
1001579,21
369455,1
1001573,6
840704,5
408668,0
879176,0
987440,0
797393,22
988529,0
985019,0
907331,2
196739,0
555017,0
664853,3
212942,0
953435,0
976556,0
756878,0
1009295,0
509393,0
651776,0
549803,0
775391,0
1103390,5
487637,0
910748,0
209309,0
503852,0
991925,0
934943,0
486551,5
1012202,0
953687,13
326642,1
999404,0
302453,0
998798,0
890702,0
942113,1
819602,11
195191,0
481088,6
976373,0
314759,22
1002041,11
1005551,0
774725,10
242156,0
779177,0
819857,0
911618,0
634799,0
852683,0
928052,0
999263,3
977456,5
977453,0
990410,0
1109636,0
529241,0
289256,0
304931,0
770591,3
749513,25
988574,0
963032,0
749759,20
517262,0
131309,0
668582,0
970808,0
935600,0
1019948,0
852206,0
1019705,16
437153,0
386942,0
999275,0
554402,0
253256,0
908468,0
977204,0
952148,0
992822,0
711188,4
304946,0
736208,1
542417,1
591863,0
105224,15
448031,1
1004477,0
795464,0
518102,0
988325,0
218060,0
1017539,0
872057,0
976340,0
826358,15
974162,0
531773,0
977678,2
1028879,1
816137,0
921698,0
695987,0
989009,21
909572,0
957653,0
576653,0
473894,0
194294,0
1047392,0
955478,0
1101962,40
1097003,0
923405,0
987296,0
257453,17
646340,0
256361,0
1012064,0
254180,0
668351,0
364703,12
977252,0
659882,1
493493,0
978347,3
999464,0
589970,0
739703,0
411197,0
821705,0
863549,0
988376,0
1075484,1
131744,0
187502,0
448484,5
920141,3
793070,2
373679,0
177734,1
496751,0
798515,0
1002257,19
987278,0
875519,22
923660,0
397859,26
934301,0
85229,0
769559,0
1001162,0
998156,0
1002491,22
995963,0
995726,0
771065,8
829490,11
200348,0
498914,0
936515,0
1027181,0
383495,0
751448,22
911693,0
842471,22
435599,0
496973,2
752795,0
927803,0
291167,0
843569,9
811733,0
749387,0
727337,0
200114,0
690419,6
983720,21
981542,0
981302,0
2951,0
433160,0
880727,0
223220,15
844664,4
994610,0
827069,0
1001810,0
920186,0
538328,31
1000727,0
748025,1
892943,0
742961,0
1007114,0
373481,4
1004087,22
840074,11
1133372,0
68495,1
994841,0
18878,25
321440,0
212120,0
1135328,2
1028027,0
749363,0
749366,1
1016045,0
279242,37
1018466,0
129494,0
796703,0
875168,0
1007102,0
386771,1
912335,3
688316,12
982859,16
866693,6
459314,0
989087,0
974822,0
481202,0
227870,26
937400,5
679421,0
1010717,12
933044,0
789194,1
457589,5
952805,0
890516,0
1028489,0
95885,0
1005587,0
421394,0
746078,0
70121,0
224345,19
1018682,3
981344,0
959687,2
753839,0
58487,0
249674,0
224594,0
647828,0
415952,15
1012904,20
820475,0
927614,21
885176,0
120491,0
878642,0
318464,0
878885,0
728897,0
983762,0
849089,1
530873,9
680621,10
170942,29
823976,0
801941,20
31814,6
647852,0
866648,0
96512,6
758276,0
1000913,0
725135,0
705302,1
596675,0
854444,0
801950,40
1019516,1
531731,13
807017,0
1010948,16
1085447,30
16427,2
